epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,909.289,1.62423,4.31814,1.7006,0.66311,0.06735,0.04199,0.02041,1.7535,4.00608,1.74243,9.50602e-05,9.50602e-05,9.50602e-05
2,1801.88,1.55394,3.56647,1.64421,0.45907,0.13752,0.11418,0.06424,1.71967,3.52498,1.73189,9.61487e-05,9.61487e-05,9.61487e-05
